Feature Description,Release Date,,,,,,,,,,,,,,,,
"You can now pin private windows to your Windows taskbar on Window 10 and Windows 11 for simpler access. Also, private windows have been redesigned to increase the feeling of privacy.",10/18/2022,,,,,,,,,,,,,,,,
Swipe-to-navigate (two fingers on a touchpad swiped left or right to perform history back or forward) now works for Linux users on Wayland.,10/18/2022,,,,,,,,,,,,,,,,
"Text Recognition in images allows users on macOS 10.15 and higher to extract text from the selected image (such as a meme or screenshot). Extracted text is copied to the clipboard in order to share, store, or search—without needing to manually retype everything. This feature is compatible with “VoiceOver,” the built-in macOS screen reader.",10/18/2022,,,,,,,,,,,,,,,,
"""Firefox View"" helps you get back to content you previously discovered. A pinned tab allows you to find and open recently closed tabs on your current device, access tabs from other devices (via our “Tab Pickup” feature), and change the look of the browser (with Colorways).",10/18/2022,,,,,,,,,,,,,,,,
"With the launch of the “Independent Voices” collection, Firefox is introducing 18 new ""Colorways."" You can now access a ""Colorways"" modal experience via ""Firefox View""; each new color is accompanied with a bespoke graphic and a text description that speaks to its deeper meaning.",10/18/2022,,,,,,,,,,,,,,,,
Added an option to print only the current page from the print preview dialog.,9/20/2022,,,,,,,,,,,,,,,,
Firefox now supports partitioned service workers in third-party contexts. You can register service workers in a third-party iframe and it will be partitioned under the top-level domain.,9/20/2022,,,,,,,,,,,,,,,,
Swipe to navigate (two fingers on a touchpad swiped left or right to perform history back or forward) on Windows is now enabled.,9/20/2022,,,,,,,,,,,,,,,,
"Firefox is now compliant with the User Timing L3 specification, which adds additional optional arguments to the performance.mark and performance.measure methods to provide custom start times, end times, duration, and attached details.",9/20/2022,,,,,,,,,,,,,,,,
Searching in large lists for individual items is now 2x faster. This performance enhancement replaces array.includes and array.indexOf with an optimized SIMD version.,9/20/2022,,,,,,,,,,,,,,,,
Subtitles are now available for Disney+ in Picture-in-Picture.,8/23/2022,,,,,,,,,,,,,,,,
"Firefox now supports both the scroll-snap-stop property as well as re-snapping. You can use the scroll-snap-stop property's always and normal values to specify whether or not to pass the snap points, even when scrolling fast. Re-snapping tries to keep the last snap position after any content/layout changes.",8/23/2022,,,,,,,,,,,,,,,,
The Firefox profiler can analyze power usage of a website (Apple M1 and Windows 11 only).,8/23/2022,,,,,,,,,,,,,,,,
"The Firefox UI itself will now be throttled for performance and battery usage when minimized or occluded, in the same way background tabs are.",8/23/2022,,,,,,,,,,,,,,,,
Enabled hardware acceleration on newer AMD cards.,8/1/2022,,,,,,,,,,,,,,,,
Improved responsiveness on macOS during periods of high CPU load by switching to a modern lock API.,7/26/2022,,,,,,,,,,,,,,,,
Do you always forget something? Required fields are now highlighted in PDF forms.,7/26/2022,,,,,,,,,,,,,,,,
Improved performance on high-refresh rate monitors (120Hz+).,7/26/2022,,,,,,,,,,,,,,,,
"Enjoying Picture-in-Picture subtitles feature? It just got better: you can now change subtitles font size directly from the PiP window. Additionally, PiP subtitles are now available at Funimation, Dailymotion, Tubi, Hotstar, and SonyLIV.",7/26/2022,,,,,,,,,,,,,,,,
"Buttons in the Tabs toolbar can now be reached with Tab, Shift+Tab, and Arrow keys.",7/26/2022,,,,,,,,,,,,,,,,
"Windows' ""Make text bigger"" accessibility setting now affects all the UI and content pages, rather than only applying to system font sizes.",7/26/2022,,,,,,,,,,,,,,,,
"Rejoice! You can now conveniently access Firefox, which will now be pinned to the Windows taskbar during installation on Windows 10 and 11. This will also allow for Firefox to be launched quicker after installing.",7/26/2022,,,,,,,,,,,,,,,,
Removed a configuration option to allow SHA-1 signatures in certificates: SHA-1 signatures in certificates—long since determined to no longer be secure enough—are now not supported.,7/26/2022,,,,,,,,,,,,,,,,
Tired of too many windows crowding your screen? You can now disable automatic opening of the download panel every time a new download starts.,6/28/2022,,,,,,,,,,,,,,,,
Firefox now mitigates query parameter tracking when navigating sites if you have enabled strict mode for Enhanced Tracking Protection.,6/28/2022,,,,,,,,,,,,,,,,
"Improved security by moving audio decoding into a separate process with stricter sandboxing, thus improving process isolation.",6/28/2022,,,,,,,,,,,,,,,,
"Reading is now easier with the prefers-contrast media query, which allows sites to detect if the user has requested that web content is presented with a higher (or lower) contrast.",5/31/2022,,,,,,,,,,,,,,,,
It’s your choice! All non-configured MIME types can now be assigned a custom action upon download completion.,5/31/2022,,,,,,,,,,,,,,,,
"Firefox now allows users to use as many microphones as you want, at the same time, during video conferencing. The most exciting benefit is that you can easily switch your microphones at any time (if your conferencing service provider enables this flexibility).",5/31/2022,,,,,,,,,,,,,,,,
"Removed ""subject common name"" fallback support from certificate validation. This fallback mode was previously enabled only for manually installed certificates. The CA Browser Forum Baseline Requirements have required the presence of the ""subjectAltName"" extension since 2012, and use of the subject common name was deprecated in RFC 2818.",5/31/2022,,,,,,,,,,,,,,,,
Firefox's security sandbox now blocks access to the Win32k APIs for Content Processes on Windows.,5/16/2022,,,,,,,,,,,,,,,,
"We now support captions/subtitles display on YouTube, Prime Video, and Netflix videos you watch in Picture-in-Picture. Just turn on the subtitles on the in-page video player, and they will appear in PiP.",5/3/2022,,,,,,,,,,,,,,,,
